,address_components,formatted_address,place_id,types,geometry.bounds.northeast.lat,geometry.bounds.northeast.lng,geometry.bounds.southwest.lat,geometry.bounds.southwest.lng,geometry.location.lat,geometry.location.lng,geometry.location_type,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,partial_match
38,"[{'long_name': 'Maracangalha', 'short_name': 'Maracangalha', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Belém', 'short_name': 'Belém', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}]","Maracangalha, Belém - PA, Brazil",ChIJ0bJXt3-JpJIRga4a1xCwbZA,"['political', 'sublocality', 'sublocality_level_1']",-1.3944,-48.470004,-1.408716,-48.49204,-1.3991768,-48.4812248,APPROXIMATE,-1.3944,-48.470004,-1.408716,-48.49204,
39,"[{'long_name': 'Marahú', 'short_name': 'Marahú', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Belém', 'short_name': 'Belém', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}]","Marahú, Belém - PA, Brazil",ChIJH_idhwIWpJIRjAp3bjKoa2Y,"['political', 'sublocality', 'sublocality_level_1']",-1.0703985,-48.392562,-1.0876864,-48.4190662,-1.0741149,-48.39924269999999,APPROXIMATE,-1.0703985,-48.392562,-1.0876864,-48.4190662,
40,"[{'long_name': 'Marambaia', 'short_name': 'Marambaia', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Belém', 'short_name': 'Belém', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}]","Marambaia, Belém - PA, Brazil",ChIJX-mpHrOLpJIRklE5R_pfMNg,"['political', 'sublocality', 'sublocality_level_1']",-1.3948609,-48.4344749,-1.4098839,-48.470004,-1.4040646,-48.4537424,APPROXIMATE,-1.3948609,-48.4344749,-1.4098839,-48.470004,
41,"[{'long_name': 'Marco', 'short_name': 'Marco', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Belém', 'short_name': 'Belém', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}]","Marco, Belém - PA, Brazil",ChIJ96G9wAyMpJIR6gRyD01bam0,"['political', 'sublocality', 'sublocality_level_1']",-1.4205209,-48.44717199999999,-1.4483069,-48.4722859,-1.4353125,-48.4612362,APPROXIMATE,-1.4205209,-48.44717199999999,-1.4483069,-48.4722859,
42,"[{'long_name': 'Miramar', 'short_name': 'Miramar', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Belém', 'short_name': 'Belém', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}]","Miramar, Belém - PA, Brazil",ChIJ8VDGInuJpJIRW7KLuVrP62s,"['political', 'sublocality', 'sublocality_level_1']",-1.4000559,-48.482991,-1.415361,-48.4959046,-1.4067064,-48.4912218,APPROXIMATE,-1.4000559,-48.482991,-1.415361,-48.4959046,
43,"[{'long_name': 'Terra Firme', 'short_name': 'Terra Firme', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Belém', 'short_name': 'Belém', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}]","Terra Firme, Belém - PA, Brazil",ChIJ8cYlS06MpJIRVhgonc5KREc,"['political', 'sublocality', 'sublocality_level_1']",-1.4436899,-48.4445089,-1.4662169,-48.4571459,-1.457048,-48.4512446,APPROXIMATE,-1.4436899,-48.4445089,-1.4662169,-48.4571459,
44,"[{'long_name': 'Murubira', 'short_name': 'Murubira', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Belém', 'short_name': 'Belém', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}]","Murubira, Belém - PA, Brazil",ChIJpTrDcSAVpJIR4BZTby4_eHo,"['political', 'sublocality', 'sublocality_level_1']",-1.1164012,-48.430179,-1.1336159,-48.4481808,-1.1242989,-48.4371162,APPROXIMATE,-1.1164012,-48.430179,-1.1336159,-48.4481808,
45,"[{'long_name': 'Rua Natal do Murubira', 'short_name': 'R. Natal do Murubira', 'types': ['route']}, {'long_name': 'Belém', 'short_name': 'Belém', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}]","R. Natal do Murubira, Belém - PA, Brazil",ChIJJU5RN84UpJIRukbob58C0aU,['route'],-1.1313349,-48.44593740000001,-1.1355562,-48.4537424,-1.1349363,-48.44963990000001,GEOMETRIC_CENTER,-1.1313349,-48.44593740000001,-1.1355562,-48.4537424,True
46,"[{'long_name': 'Nazaré', 'short_name': 'Nazaré', 'types': ['neighborhood', 'political']}, {'long_name': 'Nazaré', 'short_name': 'Nazaré', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Belém', 'short_name': 'Belém', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '66035-140', 'short_name': '66035-140', 'types': ['postal_code']}]","Nazaré, Belém - PA, 66035-140, Brazil",ChIJO_tF14KOpJIR40XkG3AEVm0,"['neighborhood', 'political']",,,,,-1.4526399,-48.4809537,APPROXIMATE,-1.4414855,-48.4649463,-1.4637943,-48.4969611,
47,"[{'long_name': 'Paracuri 1(Icoaraci)', 'short_name': 'Paracuri 1(Icoaraci)', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Belém', 'short_name': 'Belém', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}]","Paracuri 1(Icoaraci), Belém - PA, Brazil",ChIJfdLRrVdhpJIR7MSpoU4GVA8,"['political', 'sublocality', 'sublocality_level_1']",-1.3094105,-48.46814699999999,-1.3272148,-48.49149310000001,-1.3152022,-48.4812248,APPROXIMATE,-1.3094105,-48.46814699999999,-1.3272148,-48.49149310000001,
48,"[{'long_name': 'Paraíso', 'short_name': 'Paraíso', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Belém', 'short_name': 'Belém', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}]","Paraíso, Belém - PA, Brazil",ChIJwYzUE-k9pJIRxCugH6w75DI,"['political', 'sublocality', 'sublocality_level_1']",-1.0620257,-48.3698583,-1.0805789,-48.3908822,-1.0668708,-48.3816503,APPROXIMATE,-1.0620257,-48.3698583,-1.0805789,-48.3908822,
49,"[{'long_name': 'Parque Guajará', 'short_name': 'Parque Guajará', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Belém', 'short_name': 'Belém', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}]","Parque Guajará, Belém - PA, Brazil",ChIJlyRCTEdhpJIRomHIY4_zfvc,"['political', 'sublocality', 'sublocality_level_1']",-1.3064249,-48.449022,-1.3427029,-48.4696159,-1.3220872,-48.4612362,APPROXIMATE,-1.3064249,-48.449022,-1.3427029,-48.4696159,
50,"[{'long_name': 'Parque Verde', 'short_name': 'Parque Verde', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Belém', 'short_name': 'Belém', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}]","Parque Verde, Belém - PA, Brazil",ChIJ0y8res9hpJIRZYq55xaMzfA,"['political', 'sublocality', 'sublocality_level_1']",-1.3471709,-48.435147,-1.376068,-48.460912,-1.367325,-48.4437522,APPROXIMATE,-1.3471709,-48.435147,-1.376068,-48.460912,
51,"[{'long_name': 'Pedreira', 'short_name': 'Pedreira', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Belém', 'short_name': 'Belém', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}]","Pedreira, Belém - PA, Brazil",ChIJ9wbQOvqLpJIRGJ_lyGqnf1E,"['political', 'sublocality', 'sublocality_level_1']",-1.4131049,-48.459388,-1.4386619,-48.4815119,-1.4245578,-48.4712296,APPROXIMATE,-1.4131049,-48.459388,-1.4386619,-48.4815119,
52,"[{'long_name': 'Ponta Grossa', 'short_name': 'Ponta Grossa', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Belém', 'short_name': 'Belém', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}]","Ponta Grossa, Belém - PA, Brazil",ChIJ9fz3SwNkpJIRy96ozc50NkY,"['political', 'sublocality', 'sublocality_level_1']",-1.3020778,-48.4771839,-1.3123969,-48.4925816,-1.3080114,-48.4862231,APPROXIMATE,-1.3020778,-48.4771839,-1.3123969,-48.4925816,
53,"[{'long_name': 'Porto Arthur', 'short_name': 'Porto Arthur', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Belém', 'short_name': 'Belém', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}]","Porto Arthur, Belém - PA, Brazil",ChIJp65bTcMUpJIRIiur1lalduk,"['political', 'sublocality', 'sublocality_level_1']",-1.1217725,-48.446033,-1.1310909,-48.4529851,-1.1278671,-48.4493714,APPROXIMATE,-1.1217725,-48.446033,-1.1310909,-48.4529851,
54,"[{'long_name': 'Praia Grande', 'short_name': 'Praia Grande', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Belém', 'short_name': 'Belém', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}]","Praia Grande, Belém - PA, Brazil",ChIJiQDW8kRrpJIRwWet6iTB7EE,"['political', 'sublocality', 'sublocality_level_1']",-1.1424539,-48.461256,-1.1526071,-48.4716701,-1.1480818,-48.4664095,APPROXIMATE,-1.1424539,-48.461256,-1.1526071,-48.4716701,
55,"[{'long_name': 'Pratinha (Icoaraci)', 'short_name': 'Pratinha (Icoaraci)', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Belém', 'short_name': 'Belém', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '66816-290', 'short_name': '66816-290', 'types': ['postal_code']}]","Pratinha (Icoaraci), Belém - PA, 66816-290, Brazil",ChIJE9cu9PFhpJIRNKMnD1Y4HM0,"['political', 'sublocality', 'sublocality_level_1']",,,,,-1.3607057,-48.4696896,APPROXIMATE,-1.3495508,-48.4536822,-1.3718605,-48.48569699999999,
