,Logradouro/Nome,Bairro/Distrito,Localidade/UF,CEP
974,Rua Raquel,Vila Santana,Itapetininga/SP,18210-053
975,Rua Oswaldo Costa,Vila Santana,Itapetininga/SP,18210-057
976,Rua Antônio Rolim de Góes,Vila Santana,Itapetininga/SP,18210-060
977,Rua Procópio Medeiros,Vila Santana,Itapetininga/SP,18210-063
978,Rua André Bodo da Fonseca,Vila Santana,Itapetininga/SP,18210-067
979,Rua Manoel Martins Siqueira,Vila Santana,Itapetininga/SP,18210-070
980,Rua Dulce,Vila Santana,Itapetininga/SP,18210-080
981,Rua Antônio de Almeida Leme,Vila Santana,Itapetininga/SP,18210-090
982,Avenida Pedro Corrêa Franco,Vila Santana,Itapetininga/SP,18210-092
983,Travessa Hilda Brisola Marques,Vila Santana,Itapetininga/SP,18210-095
984,Rua José Bicudo de Almeida,Vila Santana,Itapetininga/SP,18210-100
985,Rua Hilda,Vila Santana,Itapetininga/SP,18210-110
986,Rua João Batista da Cunha,Vila Maria Isabel,Itapetininga/SP,18210-130
987,Rua Maria Izabel Cavalheiro Salem,Jardim das Rosas,Itapetininga/SP,18210-150
988,Rua das Rosas,Jardim das Rosas,Itapetininga/SP,18210-160
989,Rua Rio Verde,Jardim das Rosas,Itapetininga/SP,18210-170
990,Rua Sebastião Chioquetti,Jardim das Rosas,Itapetininga/SP,18210-180
991,Rua Theófilo Cavalheiro do Amaral,Jardim das Rosas,Itapetininga/SP,18210-190
992,Rua José Salen,Vila Salém,Itapetininga/SP,18210-200
993,Rua Alceu Vaz Moreira,Vila Salém,Itapetininga/SP,18210-205
994,Rua Professora Anice Salém da Silva,Vila Salém,Itapetininga/SP,18210-208
995,Rua Sem Nome,Vila Salém,Itapetininga/SP,18210-210
996,Rua César Augusto Salens Monteiro,Vila Salém,Itapetininga/SP,18210-215
997,Rua Santa Rita,Vila Salém,Itapetininga/SP,18210-220
998,Rua Genichi Yabiku,Vila Salém,Itapetininga/SP,18210-225
999,Rua Maria José Salen,Vila Salém,Itapetininga/SP,18210-230
1000,Rua David Cavalheiro Salem,Vila Salém,Itapetininga/SP,18210-238
1001,Rua Umbélia do Amaral Piedade,Vila Deyse,Itapetininga/SP,18210-240
1002,Rua Bechara Sussef Adas,Vila Deyse,Itapetininga/SP,18210-245
1003,Rua Ataliba Leonel,Vila Deyse,Itapetininga/SP,18210-250
1004,Avenida Carlos Licht,Vila Deyse,Itapetininga/SP,18210-255
1005,Rua Modesto Medeiros,Vila Deyse,Itapetininga/SP,18210-260
1006,Rua Alexandre Nery,Vila Deyse,Itapetininga/SP,18210-265
1007,Avenida Daher Chamie,Vila Deyse,Itapetininga/SP,18210-270
1008,Rua Emílio Bruno,Vila Deyse,Itapetininga/SP,18210-280
1009,Rua Marino Alves Palomo,Vila Deyse,Itapetininga/SP,18210-290
1010,Rua Benedito Pereira Inácio,Vila Deyse,Itapetininga/SP,18210-310
1011,Rua Eduardo Kruger,Vila Deyse,Itapetininga/SP,18210-320
1012,Rua Adolfo Lutz - de 155/156 ao fim,Vila Deyse,Itapetininga/SP,18210-330
1013,Rua Laurindo Ferreira Filho,Vila Piedade,Itapetininga/SP,18210-340
1014,Rua Miguel de Souza e Silva,Vila Piedade,Itapetininga/SP,18210-350
1015,Rua Marcos Antônio Pires da Silva,Vila Piedade,Itapetininga/SP,18210-355
1016,Rua Ari de Souza Arantes,Vila Piedade,Itapetininga/SP,18210-360
1017,Rua Ataíde de Oliveira Passarinho,Vila Piedade,Itapetininga/SP,18210-365
1018,Rua Américo Izzo,Vila Piedade,Itapetininga/SP,18210-370
1019,Rua José Antônio de Oliveira,Vila Piedade,Itapetininga/SP,18210-375
1020,Rua Maria Percília Ferreira,Vila Piedade,Itapetininga/SP,18210-380
1021,Rua José Elysio Braga da Silveira,Vila Piedade,Itapetininga/SP,18210-385
1022,Rua Alípio Fraletti Monteiro,Vila Piedade,Itapetininga/SP,18210-390
1023,Rua Osmar Marinho,Vila Piedade,Itapetininga/SP,18210-395
1024,Rua Ernesto José Kraph,Vila Piedade,Itapetininga/SP,18210-410
1025,Rua Ernesto Simões Rosinha,Vila Piedade,Itapetininga/SP,18210-415
1026,Rua Rosa Maria de Barros Paixão,Vila Piedade,Itapetininga/SP,18210-420
1027,Rua Neusa Guarnieri da Costa,Vila Piedade,Itapetininga/SP,18210-425
1028,Rua Olga Corrêa Guimarães Cleto,Vila Piedade,Itapetininga/SP,18210-430
1029,Rua Gustavo Matheus,Vila Piedade,Itapetininga/SP,18210-440
1030,Rua José de Freitas,Vila Piedade,Itapetininga/SP,18210-450
1031,Rua Francisco Sales de Abreu,Vila Piedade,Itapetininga/SP,18210-460
1032,Rua Aristides Ramos,Vila Piedade,Itapetininga/SP,18210-465
1033,Rua Maria Benedita Ramos de Almeida,Vila Piedade,Itapetininga/SP,18210-470
1034,Rua Geraldo de Paula Mendonça,Vila Piedade,Itapetininga/SP,18210-480
1035,Rua Padroeiro Bento Dias Pacheco,Vila Piedade,Itapetininga/SP,18210-490
1036,Rua João Batista Abreu,Vila Piedade,Itapetininga/SP,18210-500
1037,Rua Gladys,Vila Piedade,Itapetininga/SP,18210-510
1038,Rua Tereza,Vila Piedade,Itapetininga/SP,18210-520
1039,Rua Lindolfo Machado de Albuquerque,Vila Piedade,Itapetininga/SP,18210-530
1040,Rua Iolanda Oliveira Andrade,Vila Piedade,Itapetininga/SP,18210-540
1041,Rua Osório Pedrico,Vila Piedade,Itapetininga/SP,18210-550
1042,Rua Célia,Vila Piedade,Itapetininga/SP,18210-560
1043,Rua Bonifácio Correa da Costa,Vila Piedade,Itapetininga/SP,18210-565
1044,Rua Vera,Vila Piedade,Itapetininga/SP,18210-570
1045,Avenida Waldemir Moraes Costa,Vila Piedade,Itapetininga/SP,18210-575
1046,Rua Noé Batista Brizola,Vila Piedade,Itapetininga/SP,18210-576
1047,Rua José Ferreira da Silva,Vila Piedade,Itapetininga/SP,18210-577
1048,Rua Izabel,Vila Piedade,Itapetininga/SP,18210-580
1049,Rua Luiza Lázara Arantes,Vila Piedade,Itapetininga/SP,18210-585
1050,Rua Therezinha de Jesus Duarte Piedade,Therezinha Piedade,Itapetininga/SP,18210-586
1051,Rua José Paixão Barros,Therezinha Piedade,Itapetininga/SP,18210-587
1052,Rua Luiz Alberto Piedade,Therezinha Piedade,Itapetininga/SP,18210-588
1053,Rua José Paulo Lemos Piedade,Therezinha Piedade,Itapetininga/SP,18210-589
1054,Rua Walter Luiz Barros Sacco,Vila Godói,Itapetininga/SP,18210-590
1055,Rua Taciano Dias de Carvalho,Vila Godói,Itapetininga/SP,18210-595
1056,Rua Dez,Vila Godói,Itapetininga/SP,18210-600
1057,Rua Iolanda Oliveira Andrade,Vila Godói,Itapetininga/SP,18210-605
1058,Rua Um,Vila Godói,Itapetininga/SP,18210-610
1059,Rua Lúcia Nogueira Batista,Vila Godói,Itapetininga/SP,18210-620
1060,Travessa Benedito Correa de Oliveira,Vila Godói,Itapetininga/SP,18210-630
1061,Rua 13 de Maio,Vila Godói,Itapetininga/SP,18210-640
1062,Rua Antenor Mariano da Silva,Jardim Santa Inêz,Itapetininga/SP,18210-725
1063,Rua Maria de Lourdes Barros Carvalho,Jardim Santa Inêz,Itapetininga/SP,18210-726
1064,Rua Joaquim de Araújo Carvalho,Jardim Santa Inêz,Itapetininga/SP,18210-727
1065,Rua Aristides Aranha,Jardim Santa Inêz,Itapetininga/SP,18210-728
1066,Rua Nelson Araújo Guerra,Jardim Santa Inêz,Itapetininga/SP,18210-729
1067,Rua Doutor Sizenando de Carvalho,Jardim Santa Inêz,Itapetininga/SP,18210-730
1068,Rua Pedro Paulo Barreti,Jardim Santa Inêz,Itapetininga/SP,18210-731
1069,Rua Benedito A. Diniz,Jardim Santa Inêz,Itapetininga/SP,18210-732
1070,Rua João Carlos Paixão,Jardim Santa Inêz,Itapetininga/SP,18210-733
1071,Rua José Ferreira Noronha,Jardim Santa Inêz,Itapetininga/SP,18210-734
1072,Rua Miguel França,Jardim Santa Inêz,Itapetininga/SP,18210-735
1073,Rua José Cavalheiro Salem,Jardim Santa Inêz,Itapetininga/SP,18210-736
1074,Rua Fátima T. Muller,Jardim Santa Inêz,Itapetininga/SP,18210-737
1075,Rua João Alcino Vieira,Jardim Santa Inêz,Itapetininga/SP,18210-738
1076,Rua Doze,Jardim Santa Inêz,Itapetininga/SP,18210-739
1077,Rua Vinte,Jardim Santa Inêz,Itapetininga/SP,18210-740
1078,Rua Francisco da Motta Pires,Jardim Santa Inêz,Itapetininga/SP,18210-741
1079,Rua Antenor M. da Silva,Jardim Santa Inêz,Itapetininga/SP,18210-742
1080,Rua Sebastião A. Concianci,Jardim Santa Inêz,Itapetininga/SP,18210-743
1081,Rua Monsenhor Batista Ribeiro,Jardim Santa Inêz,Itapetininga/SP,18210-744
1082,Rua João Luiz de Abreu Camargo,Jardim Santa Inêz,Itapetininga/SP,18210-745
1083,Rua Oscar de Souza Alves,Jardim Santa Inêz,Itapetininga/SP,18210-746
1084,Rua Nabor Holtz,Jardim Santa Inêz,Itapetininga/SP,18210-747
1085,Rua Adalberto Cardoso de Almeida,Jardim Santa Inêz,Itapetininga/SP,18210-748
1086,Rua Adalberto C. de Almeida,Jardim Santa Inêz,Itapetininga/SP,18210-749
1087,Rua Orlando A. Oliveira,Jardim Santa Inêz,Itapetininga/SP,18210-750
1088,Rua Taro Oi,Jardim Santa Inêz,Itapetininga/SP,18210-755
1089,Rua Francisco Souza Alveis,Jardim Santa Inêz,Itapetininga/SP,18210-763
1090,Rua Rodolfo Soares,Vila José Salem,Itapetininga/SP,18210-765
1091,Rua Doutor Rubens Camargo Mello,Vila José Salem,Itapetininga/SP,18210-766
1092,Rua Rosa Abud Abib,Vila José Salem,Itapetininga/SP,18210-767
1093,Rua Um,Vila José Salem,Itapetininga/SP,18210-768
1094,Rua Carlos Orsi,Vila José Salem,Itapetininga/SP,18210-769
1095,Rua Ortilia de Souza Alexandre,Vila José Salem,Itapetininga/SP,18210-770
1096,Rua Benedito Alves Martins,Vila José Salem,Itapetininga/SP,18210-771
1097,Rua Olavo Soares,Vila José Salem,Itapetininga/SP,18210-772
1098,Rua Miguel Nogueira,Vila José Salem,Itapetininga/SP,18210-773
1099,Rua João Luiz de Abreu Camargo,Vila José Salem,Itapetininga/SP,18210-774
1100,Rua Brasílio Ayres Ribas,Vila José Salem,Itapetininga/SP,18210-775
1101,Rua Manoel Odoro de Moraes Filho,Vila José Salem,Itapetininga/SP,18210-776
1102,Rua Taro Oi,Vila José Salem,Itapetininga/SP,18210-778
1103,Rua Maria do Carmo Cisterna Guerra,Vila José Salem,Itapetininga/SP,18210-779
1104,Rua Genichi Yabiku,Vila José Salem,Itapetininga/SP,18210-790
1105,Rua Doutor Fernando Costa,Jardim Casa Grande,Itapetininga/SP,18211-000
1106,Rua Alzira Alves de Carvalho,Jardim Casa Grande,Itapetininga/SP,18211-010
1107,Rua Erasmo Tavernaro,Jardim Casa Grande,Itapetininga/SP,18211-020
1108,Rua João Batista Pires Gavião,Jardim Casa Grande,Itapetininga/SP,18211-030
1109,Rua José Corrêa de Almeida Moraes,Jardim Casa Grande,Itapetininga/SP,18211-035
1110,Rua Pedro Diniz,Jardim Casa Grande,Itapetininga/SP,18211-040
1111,Rua Alvim de Moraes Cardoso,Jardim Casa Grande,Itapetininga/SP,18211-050
1112,Rua Marcos Roberto Oliveira,Jardim Casa Grande,Itapetininga/SP,18211-060
1113,Rua João Tavares da Rosa,Jardim Casa Grande,Itapetininga/SP,18211-070
1114,Rua Frederico Gehring,Jardim Casa Grande,Itapetininga/SP,18211-080
1115,Rua Valdemir Panelli das Dores,Jardim Casa Grande,Itapetininga/SP,18211-090
1116,Rua João Bianco Sobrinho,Jardim Casa Grande,Itapetininga/SP,18211-100
1117,Rua Vasco da Costa Pinto Júnior,Jardim Casa Grande,Itapetininga/SP,18211-110
1118,Rua Aristeu Scotti,Jardim Casa Grande,Itapetininga/SP,18211-120
1119,Rua João Carvalho,Jardim Casa Grande,Itapetininga/SP,18211-130
1120,Rua Quatro,Jardim Casa Grande,Itapetininga/SP,18211-140
1121,Rua Carolina Maria Mastromauro,Jardim Casa Grande,Itapetininga/SP,18211-155
1122,Estrada Municipal Vicente Rodrigues Furtado,Vila Belo Horizonte,Itapetininga/SP,18211-170
1123,Rua Lindolfo Ferreira de Moraes,Vila Belo Horizonte,Itapetininga/SP,18211-171
1124,Rua Alice Lorena Abrão,Vila Belo Horizonte,Itapetininga/SP,18211-172
1125,Rua Abel de Oliveira,Vila Belo Horizonte,Itapetininga/SP,18211-174
1126,Rua João José de Queiroz,Vila Belo Horizonte,Itapetininga/SP,18211-175
1127,Rua Flávio Monteiro de Carvalho Júnior,Vila Belo Horizonte,Itapetininga/SP,18211-176
1128,Rua Aparício Pires,Vila Belo Horizonte,Itapetininga/SP,18211-177
1129,Rua Arminda Franco Cerqueira,Vila Belo Horizonte,Itapetininga/SP,18211-178
1130,Rua Santino Leme de Almeida,Vila Belo Horizonte,Itapetininga/SP,18211-180
1131,Rua Hermenegildo Orsi,Vila Belo Horizonte,Itapetininga/SP,18211-183
1132,Rua Pedro Francisco Suardi,Vila Belo Horizonte,Itapetininga/SP,18211-187
1133,Rua José Anunciato,Vila Belo Horizonte,Itapetininga/SP,18211-190
1134,Rua Plácido da Silva Machado,Vila Belo Horizonte,Itapetininga/SP,18211-193
1135,Rua Marilda Elesbão Lúcia,Vila Belo Horizonte,Itapetininga/SP,18211-194
1136,Rua José Nunes Bento,Vila Belo Horizonte,Itapetininga/SP,18211-195
1137,Rua João Nunes da Costa,Vila Belo Horizonte,Itapetininga/SP,18211-196
1138,Rua José Rolim Palma,Vila Belo Horizonte,Itapetininga/SP,18211-197
1139,Rua Zariffe Yared,Vila Belo Horizonte,Itapetininga/SP,18211-200
1140,Rua Amadeu Fogaça,Vila Belo Horizonte,Itapetininga/SP,18211-203
1141,Rua José Alves de Souza,Vila Belo Horizonte,Itapetininga/SP,18211-205
1142,Rua Eugênio Dias Batista,Vila Belo Horizonte,Itapetininga/SP,18211-207
1143,Rua Ricardo Martins,Vila Belo Horizonte,Itapetininga/SP,18211-210
1144,Rua Ary Izzo,Vila Belo Horizonte,Itapetininga/SP,18211-213
1145,Rua José Gil Plens,Vila Belo Horizonte,Itapetininga/SP,18211-215
1146,Rua João Ayres Ribas,Vila Belo Horizonte,Itapetininga/SP,18211-217
1147,Rua Dirco Santos Theodoro,Vila Belo Horizonte,Itapetininga/SP,18211-220
1148,Rua Felipe Abraham Jubram,Vila Belo Horizonte,Itapetininga/SP,18211-222
1149,Rua Fernando Leme da Silva,Vila Belo Horizonte,Itapetininga/SP,18211-223
1150,Rua João Tagliarini,Vila Belo Horizonte,Itapetininga/SP,18211-227
1151,Rua Issa Bittar,Vila Belo Horizonte,Itapetininga/SP,18211-230
1152,Rua Vicentina Duarte dos Santos,Vila Belo Horizonte,Itapetininga/SP,18211-231
1153,Rua José Carlos Theodoro,Vila Belo Horizonte,Itapetininga/SP,18211-233
1154,Rua Laerte Martins de Castro,Vila Belo Horizonte,Itapetininga/SP,18211-235
1155,Avenida Flávio Monteiro de Carvalho Júnior,Vila Belo Horizonte,Itapetininga/SP,18211-237
1156,Rua Lucas Nogueira Garces,Vila Belo Horizonte,Itapetininga/SP,18211-240
1157,Rua Vicente Rodrigues Furtado,Vila Belo Horizonte,Itapetininga/SP,18211-245
1158,Rua João Kupper,Vila Belo Horizonte,Itapetininga/SP,18211-250
1159,Rua Itaboraí Marcondes Machado,Vila Belo Horizonte,Itapetininga/SP,18211-255
1160,Rua Tenente José Nunes Pereira,Vila Belo Horizonte,Itapetininga/SP,18211-259
1161,Rodovia Gladys Bernardes Minhoto,Vila Belo Horizonte,Itapetininga/SP,18211-265
1162,Rua Antônio Vieira,Vila Belo Horizonte,Itapetininga/SP,18211-270
1163,Rua Vicente de Moura,Vila Belo Horizonte,Itapetininga/SP,18211-272
1164,Rua Vicente de Campos,Vila Belo Horizonte,Itapetininga/SP,18211-273
1165,Rua Alberto Frigieri,Vila Belo Horizonte,Itapetininga/SP,18211-274
1166,Rua Valeriano Alves de Oliveira Júnior,Vila Belo Horizonte,Itapetininga/SP,18211-275
1167,Rua Benedito Antônio Marmo Vasconcelos,Vila Belo Horizonte,Itapetininga/SP,18211-276
1168,Rua Miguel Ayub,Vila Belo Horizonte,Itapetininga/SP,18211-277
1169,Rua João Catarino de Barros Cleto,Vila Belo Horizonte,Itapetininga/SP,18211-278
1170,Rua Rincão,Jardim das Flores,Itapetininga/SP,18211-280
1171,Rua Mauro Yssao Toyota,Jardim das Flores,Itapetininga/SP,18211-285
1172,Rua Takeo Okawa,Jardim das Flores,Itapetininga/SP,18211-290
1173,Rua Seis,Jardim das Flores,Itapetininga/SP,18211-300
1174,Rua Joaquim Pedro de Oliveira,Jardim das Flores,Itapetininga/SP,18211-308
1175,Rua Cinco,Jardim das Flores,Itapetininga/SP,18211-310
1176,Rua Júlia Rodrigues Pinto,Jardim das Flores,Itapetininga/SP,18211-315
1177,Rua José Malavazi,Vila Carvalho,Itapetininga/SP,18211-320
1178,Rua Ana Geraldina da Silva,Vila Carvalho,Itapetininga/SP,18211-325
1179,Rua Antônio Tavares da Rosa,Vila Carvalho,Itapetininga/SP,18211-328
1180,Rua Mário Pinto da Silveira,Vila Carvalho,Itapetininga/SP,18211-330
1181,Rua Miguel Ayres,Vila Carvalho,Itapetininga/SP,18211-340
1182,Rua Vicente de Moura,Vila Carvalho,Itapetininga/SP,18211-345
1183,Rua Engenheiro Canuto de Almeida Moura,Vila Carvalho,Itapetininga/SP,18211-348
1184,Rua Professor Lênio Vieira de Moraes,Vila Carvalho,Itapetininga/SP,18211-350
1185,Rua José Carlos Antunes,Jardim São Sebastião,Itapetininga/SP,18211-355
1186,Rua Jurandyr Ramos Pinto,Jardim São Camilo,Itapetininga/SP,18211-400
1187,Rua Creuza Aparecida Carvalho Biondo,Jardim São Camilo,Itapetininga/SP,18211-415
1188,Rua Camila Gianelli de Campos,Jardim São Camilo,Itapetininga/SP,18211-417
1189,Rua Tadão Murozaki,Jardim São Camilo,Itapetininga/SP,18211-420
1190,Rua Rosa Del Vigna Peixoto,Jardim São Camilo,Itapetininga/SP,18211-425
1191,Rua Benedito Peixoto,Jardim São Camilo,Itapetininga/SP,18211-430
1192,Rua Syllas Cardoso,Jardim São Camilo,Itapetininga/SP,18211-435
1193,Rua Edgar Augusto Ribeiro,Jardim São Camilo,Itapetininga/SP,18211-445
1194,Rua Sebastião de Oliveira,Jardim São Camilo,Itapetininga/SP,18211-450
1195,Rua Dimas Ferreira de Queiroz,Jardim São Camilo,Itapetininga/SP,18211-451
1196,Rua Diácono Pedro Joaquim de Macedo,Jardim São Camilo,Itapetininga/SP,18211-452
1197,Rua Leandro Kurnick,Jardim São Camilo,Itapetininga/SP,18211-453
1198,Rua Procópio Lopes Vaz Moreira,Jardim São Camilo,Itapetininga/SP,18211-454
1199,Rua Annalícia Leonel Ayres,Jardim São Camilo,Itapetininga/SP,18211-455
1200,Rua Eugênio Annunciato,Jardim São Camilo,Itapetininga/SP,18211-456
1201,Rua Roberto Jesus de Oliveira,Jardim São Camilo,Itapetininga/SP,18211-457
1202,Rua Padre Inácio de Araújo Ferreira,Vila Orestes,Itapetininga/SP,18212-000
1203,Rua Maria Augusta Vieira,Vila Orestes,Itapetininga/SP,18212-010
1204,Rua Professor Alcides Silva,Vila Orestes,Itapetininga/SP,18212-012
1205,Rua Benedito Marques da Silva,Vila Orestes,Itapetininga/SP,18212-020
1206,Rua José Raymundo Domingues,Vila Orestes,Itapetininga/SP,18212-025
1207,Rua Major Antônio de Arruda Moraes,Vila Olho D'Agua,Itapetininga/SP,18212-030
1208,Rua Washington Massoni,Vila Olho D'Agua,Itapetininga/SP,18212-031
1209,Rua Izolina de Arruda,Vila Olho D'Agua,Itapetininga/SP,18212-035
1210,Rua Francisco Soares,Vila Olho D'Agua,Itapetininga/SP,18212-036
1211,Rua Argemiro Vieira de Moraes,Vila Olho D'Agua,Itapetininga/SP,18212-040
1212,Rua Roberto Jansen,Vila Olho D'Agua,Itapetininga/SP,18212-050
1213,Rua João Elias de Almeida,Vila Olho D'Agua,Itapetininga/SP,18212-055
1214,Rua Júlio Rolim de Moura,Vila Olho D'Agua,Itapetininga/SP,18212-060
1215,Rua Luiz Fogaça Balboni,Vila Arruda,Itapetininga/SP,18212-073
1216,Rua Clementina dos Santos Theodoro,Vila Arruda,Itapetininga/SP,18212-075
1217,Rua João Elias de Almeida,Vila Arruda,Itapetininga/SP,18212-078
1218,Viaduto José Arruda de Moraes,Vila Arruda,Itapetininga/SP,18212-080
1219,Rua Cesário Lange,Vila Arruda,Itapetininga/SP,18212-083
1220,Rua Doutor Ali Moussa Chauman,Vila Arruda,Itapetininga/SP,18212-087
1221,Rua Pedro Porto,Vila Arruda,Itapetininga/SP,18212-090
1222,Rua Sarapui,Vila Arruda,Itapetininga/SP,18212-095
1223,Rua Angatuba,Vila Arruda,Itapetininga/SP,18212-100
1224,Rua Napoleão Tavares Silveira,Vila Arruda,Itapetininga/SP,18212-103
1225,Rua Germano Mazzarino,Vila Arruda,Itapetininga/SP,18212-105
1226,Rua Hermelio Pereira de Moraes,Vila Arruda,Itapetininga/SP,18212-107
1227,Rua Antônio Fernando Arruda Moraes,Vila Arruda,Itapetininga/SP,18212-110
1228,Rua Ezequiel Silveira,Vila Arruda,Itapetininga/SP,18212-115
1229,Rua Iporanga,Vila Arruda,Itapetininga/SP,18212-120
1230,Rua Mário Barros de Moura,Vila Arruda,Itapetininga/SP,18212-123
1231,Rua Pedro Pires,Vila Arruda,Itapetininga/SP,18212-127
1232,Rua Itaí,Vila Arruda,Itapetininga/SP,18212-130
1233,Rua Lauro Batista Santos,Vila Arruda,Itapetininga/SP,18212-135
1234,Rua Ribeira,Vila Arruda,Itapetininga/SP,18212-140
1235,Rua Virgílio José de Azevedo,Vila Arruda,Itapetininga/SP,18212-143
1236,Rua Reinaldo Natalin Dalboni,Vila Arruda,Itapetininga/SP,18212-147
1237,Rua Salto de Pirapora,Vila Arruda,Itapetininga/SP,18212-150
1238,Rua Evaldo Thibes,Vila Arruda,Itapetininga/SP,18212-155
1239,Rua Barão de Antonina,Vila Arruda,Itapetininga/SP,18212-160
1240,Rua Luiz Teixeira Ribas,Vila Arruda,Itapetininga/SP,18212-165
1241,Rua Araçoiaba da Serra,Vila Arruda,Itapetininga/SP,18212-170
1242,Rua Dario Abreu Júnior,Vila Arruda,Itapetininga/SP,18212-173
1243,Rua Adão Pedro Gomes,Vila Arruda,Itapetininga/SP,18212-177
1244,Rua Itapeva,Vila Arruda,Itapetininga/SP,18212-180
1245,Rua Ettore Alciati,Vila Arruda,Itapetininga/SP,18212-183
1246,Rua Pedro Eugênio da Silva,Vila Arruda,Itapetininga/SP,18212-187
1247,Rua Tatuí,Vila Arruda,Itapetininga/SP,18212-190
1248,Rua João Fernandes dos Santos,Vila Arruda,Itapetininga/SP,18212-193
1249,Monte Hortelina Soares de Oliveira,Vila Arruda,Itapetininga/SP,18212-197
1250,Rua Itapetininga,Vila Arruda,Itapetininga/SP,18212-198
1251,Avenida Vereador Evilásio Massaine Pires,Vila Arruda,Itapetininga/SP,18212-200
1252,Rua Capela do Alto,Vila Arruda,Itapetininga/SP,18212-201
1253,Rua Moacir de Melo,Vila Arruda,Itapetininga/SP,18212-202
1254,Rua Roberto Corrêa,Vila Arruda,Itapetininga/SP,18212-203
1255,Rua José Vieira Pires,Vila Arruda,Itapetininga/SP,18212-204
1256,Rua Olímpio Augusto Ribeiro,Vila Arruda,Itapetininga/SP,18212-205
1257,Rua Antônio Cireneo,Vila Arruda,Itapetininga/SP,18212-207
1258,Rua Manoel Nunes,Vila Arruda,Itapetininga/SP,18212-208
1259,Rua Antônia Ginez de Paula,Vila Arruda,Itapetininga/SP,18212-209
1260,Rua José Messias Correa,Vila Arruda,Itapetininga/SP,18212-210
1261,Rua Shozo Ito,Vila Arruda,Itapetininga/SP,18212-213
1262,Rua Élvio Barsanti,Vila Arruda,Itapetininga/SP,18212-215
1263,Rua Bofete,Vila Arruda,Itapetininga/SP,18212-220
1264,Rua Apiaí,Vila Arruda,Itapetininga/SP,18212-230
1265,Rua Burí,Vila Arruda,Itapetininga/SP,18212-240
1266,Rua Itaberá,Vila Arruda,Itapetininga/SP,18212-250
1267,Rua Itararé,Vila Arruda,Itapetininga/SP,18212-260
1268,Rua Guapiara,Vila Arruda,Itapetininga/SP,18212-270
1269,Rua Maria Brandina Kupper,Vila Arruda,Itapetininga/SP,18212-280
1270,Avenida João Flávio Soares Hungria,Vila Arruda,Itapetininga/SP,18212-285
1271,Rua Iperó,Vila Arruda,Itapetininga/SP,18212-290
1272,Rua Guareí,Vila Arruda,Itapetininga/SP,18212-300
1273,Rua Pilar do Sul,Vila Arruda,Itapetininga/SP,18212-310
1274,Rua Sinésio Pereira de Arruda,Vila Arruda,Itapetininga/SP,18212-315
1275,Rua Sete Barras,Vila Arruda,Itapetininga/SP,18212-320
1276,Rua Ribeirão Branco,Vila Arruda,Itapetininga/SP,18212-330
1277,Rua Deolindo Alves Camargo,Vila Arruda,Itapetininga/SP,18212-340
1278,Rua José Pércio dos Santos,Vila Arruda,Itapetininga/SP,18212-345
1279,Rua Augusto Kupper,Vila Ayres,Itapetininga/SP,18212-350
1280,Praça Edison Pereira de Oliveira,Vila Ayres,Itapetininga/SP,18212-355
1281,Rua Cerquilho,Vila Ayres,Itapetininga/SP,18212-360
1282,Rua São Miguel Arcanjo,Vila Ayres,Itapetininga/SP,18212-370
1283,Rua Taquarituba,Vila Ayres,Itapetininga/SP,18212-390
1284,Rua Ribeirão Vermelho do Sul,Vila Ayres,Itapetininga/SP,18212-400
1285,Rua Um,Vila Prado,Itapetininga/SP,18212-410
1286,Rua Dircy Campos Fontes,Vila Prado,Itapetininga/SP,18212-412
1287,Rua Pedro Marcondes Sobrinho,Vila Prado,Itapetininga/SP,18212-413
1288,Rua Braz Cubas,Vila Prado,Itapetininga/SP,18212-415
1289,Rua Thomaz Vaz de Oliveira,Vila Prado,Itapetininga/SP,18212-420
1290,Rua Orlando Scotto,Vila Prado,Itapetininga/SP,18212-425
1291,Rua Amador Bueno,Vila Prado,Itapetininga/SP,18212-430
1292,Rua José Rosa Leite,Vila Prado,Itapetininga/SP,18212-440
1293,Rua Antônio Domingos Pereira,Vila Prado,Itapetininga/SP,18212-450
1294,Rua José Rodrigues,Vila Prado,Itapetininga/SP,18212-460
1295,Rua Avelino Alves Camargo Neto,Vila Prado,Itapetininga/SP,18212-470
1296,Rua Tenente José de Almeida Barros,Vila Prado,Itapetininga/SP,18212-479
1297,Rua Miguel Janez,Vila Prado,Itapetininga/SP,18212-480
1298,Rua Doutora Emilinha Costa Paes,Conjunto Habitacional Nisshinbo do Brasil,Itapetininga/SP,18212-481
1299,Rua Floriano Peixoto Villaça,Conjunto Habitacional Nisshinbo do Brasil,Itapetininga/SP,18212-482
1300,Rua Francisco Alves Corrêa,Conjunto Habitacional Nisshinbo do Brasil,Itapetininga/SP,18212-483
1301,Rua Joaquim Vaz Neto,Conjunto Habitacional Nisshinbo do Brasil,Itapetininga/SP,18212-484
1302,Rua Manoel Henrique Peixoto,Conjunto Habitacional Nisshinbo do Brasil,Itapetininga/SP,18212-485
1303,Rua Hilda Reis Pereira de Moraes,Conjunto Habitacional Nisshinbo do Brasil,Itapetininga/SP,18212-486
1304,Rua Nilson Vieira Marcondes,Conjunto Habitacional Nisshinbo do Brasil,Itapetininga/SP,18212-487
1305,Rua Orlando Grazzioli,Conjunto Habitacional Nisshinbo do Brasil,Itapetininga/SP,18212-488
