,zip/postalcode,city,neighborhood,address,Latitudes,Longitudes
363,66035-444,Belém/PA,Nazaré,Travessa Rui Barbosa - de 1703/1704 ao fim,-1.4589854500000001,-48.486043625
364,66035-445,Belém/PA,Nazaré,Avenida Nazaré - até 166/167,-1.45377695,-48.49186735
365,66040-020,Belém/PA,Nazaré,Avenida Alcindo Cacela - de 1320/1321 a 2035/2036,-1.44963372,-48.477880680000005
366,66040-030,Belém/PA,Cremação,Passagem Alegre,-1.4564583,-48.478734212499994
367,66040-033,Belém/PA,Cremação,Rua dos Mundurucus - de 2386/2387 a 3360/3361,-1.45817035,-48.4800985
368,66040-036,Belém/PA,Cremação,Rua dos Mundurucus - de 3362/3363 a 3534/3535,-1.457857975,-48.474686774999995
369,66040-045,Belém/PA,Cremação,Rua dos Pariquis - de 2676/2677 a 3044/3045,-1.459494225,-48.47880429999999
370,66040-100,Belém/PA,Cremação,Avenida Conselheiro Furtado - de 1534/1535 a 2032/2033,-1.45665205,-48.48266065
371,66040-105,Belém/PA,Cremação,Avenida Conselheiro Furtado - de 2034/2035 a 2396/2397,-1.4564388499999998,-48.478815025
372,66040-140,Belém/PA,Nazaré,Avenida Generalíssimo Deodoro - de 1596/1597 a 1948/1949,-1.4568940000000001,-48.482739075
373,66040-170,Belém/PA,Nazaré,Avenida Governador Magalhães Barata - até 520/521,-1.4520477399999998,-48.478158279999995
374,66040-172,Belém/PA,Nazaré,Avenida Gentil Bittencourt - de 1316/1317 a 1868/1869,-1.4548905136876717,-48.47922175126783
375,66040-174,Belém/PA,Nazaré,Avenida Gentil Bittencourt - de 746/747 a 1314/1315,-1.455350875,-48.483109925
376,66040-255,Belém/PA,Cremação,Avenida Generalíssimo Deodoro - de 1950/1951 a 2066/2067,-1.459043225,-48.482711574999996
377,66040-260,Belém/PA,Cremação,Passagem Margarida,-1.4552537353236625,-48.480296647680355
378,66040-273,Belém/PA,Cremação,Avenida Alcindo Cacela - de 2037/2038 a 2549/2550,-1.4572477333333334,-48.47717330833334
379,66040-280,Belém/PA,Nazaré,Passagem Natal,-1.45559155,-48.47813107499999
380,66040-282,Belém/PA,Nazaré,Avenida Governador José Malcher - de 545/546 a 691/692,-1.4514910749999999,-48.487976124999996
381,66040-310,Belém/PA,Cremação,Passagem Pará,-1.45722985,-48.47964652500001
382,66040-360,Belém/PA,Nazaré,Travessa Quatorze de Março - de 2215/2216 a 2951/2952,-1.4584030499999998,-48.48050846428572
383,66040-365,Belém/PA,Cremação,Avenida Generalíssimo Deodoro - de 2068/2069 ao fim,-1.4600858799999998,-48.482656379999995
384,66040-480,Belém/PA,Cremação,Passagem Tocantins Lobato,-1.457276775,-48.4791805
385,66040-520,Belém/PA,São Brás,Passagem Alberto Engelhard,-1.45014305,-48.47645436249999
386,66040-903,Belém/PA,Nazaré,Avenida Governador Magalhães Barata 209 ,-1.4509398904189266,-48.4790146389847
387,66045-110,Belém/PA,Condor,Travessa Apinagés - de 1744/1745 ao fim,-1.4708292857142857,-48.47952324285715
388,66045-140,Belém/PA,Cremação,Rua dos Caripunas - de 1908/1909 a 2058/2059,-1.4607086000000002,-48.484377272727265
389,66045-143,Belém/PA,Cremação,Rua dos Caripunas - de 2060/2061 a 3156/3157,-1.460521175,-48.47936755
390,66045-180,Belém/PA,Condor,Rua Gaiapós - de 521/522 ao fim,-1.4718008999999999,-48.4765023
391,66045-197,Belém/PA,Cremação,Avenida Alcindo Cacela - de 2551/2552 a 2899/2900,-1.4610031666666667,-48.47694618333333
392,66045-205,Belém/PA,Cremação,Avenida Engenheiro Fernando Guilhon - de 2211/2212 a 2699/2700,-1.46291095,-48.47827457500001
393,66045-225,Belém/PA,Condor,Travessa Padre Eutíquio - de 2611/2612 a 3550/3551,-1.46857125,-48.480142075
394,66045-228,Belém/PA,Condor,Passagem Teixeira - até 300/301,-1.465092875,-48.478404
395,66045-290,Belém/PA,Cremação,Rua dos Pariquis - de 2274/2275 a 2674/2675,-1.4596966749999998,-48.482399125
396,66045-315,Belém/PA,Cremação,Travessa Quintino Bocaiúva - de 1855/1856 a 2312/2313,-1.457760075,-48.48512025
